onset	duration	trial_type	value	sample
52.248046875	1.0	NonTarget	1	26751
52.330078125	1.0	NonTarget	1	26793
52.462890625	1.0	NonTarget	1	26861
52.6015625	1.0	NonTarget	1	26932
52.71484375	1.0	Target	2	26990
52.814453125	1.0	NonTarget	1	27041
53.3828125	1.0	NonTarget	1	27332
53.46484375	1.0	NonTarget	1	27374
53.564453125	1.0	NonTarget	1	27425
53.685546875	1.0	NonTarget	1	27487
53.83203125	1.0	NonTarget	1	27562
53.91796875	1.0	Target	2	27606
54.1328125	1.0	NonTarget	1	27716
54.251953125	1.0	NonTarget	1	27777
54.33203125	1.0	NonTarget	1	27818
54.423828125	1.0	NonTarget	1	27865
54.58203125	1.0	NonTarget	1	27946
54.75	1.0	Target	2	28032
55.353515625	1.0	NonTarget	1	28341
55.451171875	1.0	NonTarget	1	28391
55.55078125	1.0	NonTarget	1	28442
55.634765625	1.0	NonTarget	1	28485
55.75	1.0	NonTarget	1	28544
55.8515625	1.0	Target	2	28596
56.06640625	1.0	NonTarget	1	28706
56.16796875	1.0	Target	2	28758
56.267578125	1.0	NonTarget	1	28809
56.3671875	1.0	NonTarget	1	28860
56.451171875	1.0	NonTarget	1	28903
56.556640625	1.0	NonTarget	1	28957
57.119140625	1.0	NonTarget	1	29245
57.234375	1.0	NonTarget	1	29304
57.400390625	1.0	NonTarget	1	29389
57.484375	1.0	NonTarget	1	29432
57.619140625	1.0	Target	2	29501
57.71875	1.0	NonTarget	1	29552
69.111328125	1.0	Target	2	35385
69.2109375	1.0	NonTarget	1	35436
69.310546875	1.0	NonTarget	1	35487
69.41796875	1.0	NonTarget	1	35542
69.52734375	1.0	NonTarget	1	35598
69.62890625	1.0	NonTarget	1	35650
70.2109375	1.0	NonTarget	1	35948
70.3515625	1.0	NonTarget	1	36020
70.4609375	1.0	Target	2	36076
70.55078125	1.0	NonTarget	1	36122
70.6953125	1.0	NonTarget	1	36196
70.794921875	1.0	NonTarget	1	36247
71.083984375	1.0	NonTarget	1	36395
71.185546875	1.0	Target	2	36447
71.361328125	1.0	NonTarget	1	36537
71.49609375	1.0	NonTarget	1	36606
71.6796875	1.0	NonTarget	1	36700
71.779296875	1.0	NonTarget	1	36751
72.333984375	1.0	NonTarget	1	37035
72.501953125	1.0	Target	2	37121
72.6015625	1.0	NonTarget	1	37172
72.697265625	1.0	NonTarget	1	37221
72.796875	1.0	NonTarget	1	37272
72.9375	1.0	NonTarget	1	37344
73.205078125	1.0	NonTarget	1	37481
73.296875	1.0	NonTarget	1	37528
73.384765625	1.0	Target	2	37573
73.498046875	1.0	NonTarget	1	37631
73.583984375	1.0	NonTarget	1	37675
73.685546875	1.0	NonTarget	1	37727
74.28125	1.0	NonTarget	1	38032
74.568359375	1.0	NonTarget	1	38179
74.658203125	1.0	NonTarget	1	38225
74.748046875	1.0	NonTarget	1	38271
74.833984375	1.0	Target	2	38315
74.916015625	1.0	NonTarget	1	38357
86.240234375	1.0	NonTarget	1	44155
86.390625	1.0	NonTarget	1	44232
86.5390625	1.0	NonTarget	1	44308
86.689453125	1.0	NonTarget	1	44385
86.80859375	1.0	NonTarget	1	44446
86.974609375	1.0	Target	2	44531
87.541015625	1.0	Target	2	44821
87.673828125	1.0	NonTarget	1	44889
87.80859375	1.0	NonTarget	1	44958
87.8984375	1.0	NonTarget	1	45004
88.0078125	1.0	NonTarget	1	45060
88.150390625	1.0	NonTarget	1	45133
88.4765625	1.0	NonTarget	1	45300
88.609375	1.0	NonTarget	1	45368
88.7265625	1.0	NonTarget	1	45428
88.84375	1.0	Target	2	45488
88.9921875	1.0	NonTarget	1	45564
89.1171875	1.0	NonTarget	1	45628
89.693359375	1.0	NonTarget	1	45923
89.951171875	1.0	Target	2	46055
90.0390625	1.0	NonTarget	1	46100
90.177734375	1.0	NonTarget	1	46171
90.29296875	1.0	NonTarget	1	46230
90.384765625	1.0	NonTarget	1	46277
90.59375	1.0	NonTarget	1	46384
90.767578125	1.0	NonTarget	1	46473
90.90234375	1.0	NonTarget	1	46542
91.056640625	1.0	Target	2	46621
91.150390625	1.0	NonTarget	1	46669
91.259765625	1.0	NonTarget	1	46725
91.833984375	1.0	NonTarget	1	47019
91.91796875	1.0	Target	2	47062
92.009765625	1.0	NonTarget	1	47109
92.1171875	1.0	NonTarget	1	47164
92.216796875	1.0	NonTarget	1	47215
92.322265625	1.0	NonTarget	1	47269
103.705078125	1.0	NonTarget	1	53097
103.787109375	1.0	Target	2	53139
103.888671875	1.0	NonTarget	1	53191
103.966796875	1.0	NonTarget	1	53231
104.083984375	1.0	NonTarget	1	53291
104.1875	1.0	NonTarget	1	53344
104.767578125	1.0	Target	2	53641
104.8515625	1.0	NonTarget	1	53684
104.951171875	1.0	NonTarget	1	53735
105.05078125	1.0	NonTarget	1	53786
105.15625	1.0	NonTarget	1	53840
105.23828125	1.0	NonTarget	1	53882
105.447265625	1.0	NonTarget	1	53989
105.5390625	1.0	Target	2	54036
105.654296875	1.0	NonTarget	1	54095
105.755859375	1.0	NonTarget	1	54147
105.873046875	1.0	NonTarget	1	54207
106.0	1.0	NonTarget	1	54272
106.56640625	1.0	NonTarget	1	54562
106.673828125	1.0	Target	2	54617
106.822265625	1.0	NonTarget	1	54693
106.90234375	1.0	NonTarget	1	54734
107.06640625	1.0	NonTarget	1	54818
107.158203125	1.0	NonTarget	1	54865
107.3671875	1.0	NonTarget	1	54972
107.455078125	1.0	NonTarget	1	55017
107.572265625	1.0	NonTarget	1	55077
107.673828125	1.0	Target	2	55129
107.767578125	1.0	NonTarget	1	55177
107.908203125	1.0	NonTarget	1	55249
108.466796875	1.0	NonTarget	1	55535
108.5859375	1.0	Target	2	55596
108.69140625	1.0	NonTarget	1	55650
108.767578125	1.0	NonTarget	1	55689
108.900390625	1.0	NonTarget	1	55757
109.05078125	1.0	NonTarget	1	55834
120.3671875	1.0	NonTarget	1	61628
120.455078125	1.0	NonTarget	1	61673
120.556640625	1.0	NonTarget	1	61725
120.658203125	1.0	NonTarget	1	61777
120.806640625	1.0	NonTarget	1	61853
120.93359375	1.0	Target	2	61918
121.509765625	1.0	NonTarget	1	62213
121.71875	1.0	Target	2	62320
121.81640625	1.0	NonTarget	1	62370
121.951171875	1.0	NonTarget	1	62439
122.083984375	1.0	NonTarget	1	62507
122.16796875	1.0	NonTarget	1	62550
122.3515625	1.0	NonTarget	1	62644
122.435546875	1.0	NonTarget	1	62687
122.552734375	1.0	NonTarget	1	62747
122.634765625	1.0	NonTarget	1	62789
122.736328125	1.0	NonTarget	1	62841
122.833984375	1.0	NonTarget	1	62891
123.384765625	1.0	NonTarget	1	63173
123.484375	1.0	NonTarget	1	63224
123.556640625	1.0	NonTarget	1	63261
123.6875	1.0	Target	2	63328
123.78515625	1.0	NonTarget	1	63378
123.884765625	1.0	Target	2	63429
124.103515625	1.0	Target	2	63541
124.1953125	1.0	NonTarget	1	63588
124.29296875	1.0	NonTarget	1	63638
124.40234375	1.0	NonTarget	1	63694
124.556640625	1.0	NonTarget	1	63773
124.81640625	1.0	NonTarget	1	63906
125.384765625	1.0	Target	2	64197
125.501953125	1.0	NonTarget	1	64257
125.583984375	1.0	NonTarget	1	64299
125.68359375	1.0	NonTarget	1	64350
125.755859375	1.0	NonTarget	1	64387
125.884765625	1.0	NonTarget	1	64453
137.259765625	1.0	NonTarget	1	70277
137.384765625	1.0	NonTarget	1	70341
137.53125	1.0	Target	2	70416
137.630859375	1.0	NonTarget	1	70467
137.734375	1.0	NonTarget	1	70520
137.884765625	1.0	NonTarget	1	70597
138.46484375	1.0	NonTarget	1	70894
138.548828125	1.0	NonTarget	1	70937
138.787109375	1.0	NonTarget	1	71059
138.935546875	1.0	Target	2	71135
139.048828125	1.0	NonTarget	1	71193
139.248046875	1.0	NonTarget	1	71295
139.466796875	1.0	NonTarget	1	71407
139.556640625	1.0	NonTarget	1	71453
139.697265625	1.0	NonTarget	1	71525
139.802734375	1.0	NonTarget	1	71579
139.93359375	1.0	NonTarget	1	71646
140.150390625	1.0	NonTarget	1	71757
140.705078125	1.0	Target	2	72041
140.806640625	1.0	NonTarget	1	72093
140.900390625	1.0	NonTarget	1	72141
141.05078125	1.0	NonTarget	1	72218
141.1328125	1.0	NonTarget	1	72260
141.216796875	1.0	Target	2	72303
141.41796875	1.0	NonTarget	1	72406
141.525390625	1.0	NonTarget	1	72461
141.68359375	1.0	NonTarget	1	72542
141.783203125	1.0	Target	2	72593
141.884765625	1.0	NonTarget	1	72645
142.05078125	1.0	NonTarget	1	72730
142.6015625	1.0	NonTarget	1	73012
142.701171875	1.0	NonTarget	1	73063
142.833984375	1.0	NonTarget	1	73131
142.93359375	1.0	NonTarget	1	73182
143.03515625	1.0	Target	2	73234
143.134765625	1.0	NonTarget	1	73285
154.494140625	1.0	Target	2	79101
154.59375	1.0	NonTarget	1	79152
154.677734375	1.0	NonTarget	1	79195
154.765625	1.0	NonTarget	1	79240
154.908203125	1.0	NonTarget	1	79313
155.009765625	1.0	NonTarget	1	79365
155.572265625	1.0	NonTarget	1	79653
155.65625	1.0	NonTarget	1	79696
155.8046875	1.0	NonTarget	1	79772
155.900390625	1.0	NonTarget	1	79821
156.033203125	1.0	NonTarget	1	79889
156.12890625	1.0	Target	2	79938
156.37890625	1.0	NonTarget	1	80066
156.478515625	1.0	Target	2	80117
156.595703125	1.0	NonTarget	1	80177
156.705078125	1.0	NonTarget	1	80233
156.833984375	1.0	NonTarget	1	80299
156.9453125	1.0	Target	2	80356
157.517578125	1.0	NonTarget	1	80649
157.666015625	1.0	NonTarget	1	80725
157.765625	1.0	NonTarget	1	80776
